depth,seed,round,test_acc,test_f1,test_auc,cumulative_bytes,n_params
3,1,16,0.681665868836764,0.5033607169529499,0.7627166619490835,149504,73
3,1,17,0.6969842029679273,0.5066250974279034,0.7589661832531345,158848,73
3,1,18,0.665390138822403,0.49530685920577616,0.7589578581061955,168192,73
3,1,19,0.6988989947343226,0.509742790335152,0.7613568879490724,177536,73
3,1,20,0.6601244614648157,0.4892086330935252,0.7625917847450008,186880,73
3,1,21,0.6826232647199617,0.4988662131519274,0.7658205542327823,196224,73
3,1,22,0.665390138822403,0.49530685920577616,0.7715982062083395,205568,73
3,1,23,0.6811871708951651,0.5014970059880239,0.7690035354124,214912,73
3,1,24,0.6807084729535663,0.5026099925428784,0.7832409242023122,224256,73
3,1,25,0.6874102441359502,0.5079125847776941,0.7801148315267764,233600,73
3,2,1,0.25658209669698423,0.19989696032972695,0.2743996181532604,9344,73
3,2,2,0.38535184298707514,0.17374517374517376,0.32251757993528585,18688,73
3,2,3,0.5150789851603638,0.26219956300072833,0.48526310239375725,28032,73
3,2,4,0.7884155098133078,0.5526315789473685,0.8280107893904327,37376,73
3,2,5,0.6524652943992341,0.5261096605744126,0.8520801767151189,46720,73
3,2,6,0.6677836285303973,0.5246575342465754,0.8151983882515526,56064,73
3,2,7,0.6921972235519387,0.5377426312005751,0.7947102016350589,65408,73
3,2,8,0.6831019626615605,0.5311614730878187,0.7931922498432097,74752,73
3,2,9,0.6797510770703686,0.5292047853624209,0.7828329920023088,84096,73
3,2,10,0.6955481091431307,0.5397973950795948,0.7846076358247722,93440,73
3,2,11,0.6902824317855433,0.5355348169418521,0.7871648434594871,102784,73
3,2,12,0.6945907132599329,0.5390173410404624,0.7858147821309046,112128,73
3,2,13,0.685016754427956,0.5320056899004267,0.7850225056472248,121472,73
3,2,14,0.6831019626615605,0.5311614730878187,0.7826748142104707,130816,73
3,2,15,0.6802297750119675,0.5295774647887324,0.7785136282655389,140160,73
3,2,16,0.6821445667783629,0.5317348377997179,0.7816993844941363,149504,73
3,2,17,0.7190043082814744,0.5589782118707739,0.795119521359552,158848,73
3,2,18,0.7103877453326951,0.5528455284552846,0.793830511108521,168192,73
3,2,19,0.697941598851125,0.5430847212165097,0.7881652486166381,177536,73
3,2,20,0.7032072762087123,0.5474452554744526,0.7866056710900948,186880,73
3,2,21,0.6917185256103399,0.5380200860832137,0.7872550325513245,196224,73
3,2,22,0.7103877453326951,0.5515196441808747,0.7891531660533809,205568,73
3,2,23,0.7012924844423168,0.5451895043731778,0.7905420780676777,214912,73
3,2,24,0.7151747247486836,0.5556385362210605,0.7902284975329815,224256,73
3,2,25,0.6859741503111536,0.5340909090909091,0.7806198904410663,233600,73
3,3,1,0.26184777405457155,0.20515463917525772,0.28117351271249935,9344,73
3,3,2,0.33556725706079465,0.2521551724137931,0.4021032096216498,18688,73
