model,qubits,seed,round,test_acc,test_f1,test_auc,round_bytes,cumulative_bytes,wall_seconds,n_params
MatchedMLP,4.0,1,19,0.7261847774054572,0.5686274509803921,0.8498046365518349,3200,60800,0.029044389724731445,25
MatchedMLP,4.0,1,20,0.7261847774054572,0.5686274509803921,0.8499274324691831,3200,64000,0.02985239028930664,25
MatchedMLP,4.0,1,21,0.7261847774054572,0.5686274509803921,0.8501244609467358,3200,67200,0.03139758110046387,25
MatchedMLP,4.0,1,22,0.7271421732886548,0.5681818181818182,0.8502042436048995,3200,70400,0.02359485626220703,25
MatchedMLP,4.0,1,23,0.7261847774054572,0.5686274509803921,0.8502611321089817,3200,73600,0.025008678436279297,25
MatchedMLP,4.0,1,24,0.726663475347056,0.5690566037735849,0.8503305083334721,3200,76800,0.023913860321044922,25
MatchedMLP,4.0,1,25,0.7276208712302538,0.5686125852918877,0.8503540962497989,3200,80000,0.030885934829711914,25
VQC,4.0,2,1,0.5165150789851604,0.3138586956521739,0.529570921926772,3200,3200,0.3484671115875244,25
VQC,4.0,2,2,0.5552896122546673,0.31439114391143913,0.5451583720452666,3200,6400,0.36417269706726074,25
VQC,4.0,2,3,0.533748204882719,0.326417704011065,0.5538415003024804,3200,9600,0.36463284492492676,25
VQC,4.0,2,4,0.48827190043082813,0.33643699565487273,0.5725175799352858,3200,12800,0.303591251373291,25
VQC,4.0,2,5,0.46577309717568216,0.33807829181494664,0.581313097676174,3200,16000,0.37498950958251953,25
VQC,4.0,2,6,0.5246529439923409,0.384376937383757,0.6112447759702958,3200,19200,0.3485383987426758,25
VQC,4.0,2,7,0.4940162757300144,0.398406374501992,0.634284620123545,3200,22400,0.3781745433807373,25
VQC,4.0,2,8,0.5471517472474868,0.4057788944723618,0.6638541545258273,3200,25600,0.3695192337036133,25
VQC,4.0,2,9,0.5169937769267592,0.4109748978400467,0.6739150946014196,3200,28800,0.35433292388916016,25
VQC,4.0,2,10,0.5318334131163236,0.4206161137440758,0.6958407565893538,3200,32000,0.3657662868499756,25
VQC,4.0,2,11,0.6007659167065582,0.4279835390946502,0.7036247689771725,3200,35200,0.383634090423584,25
VQC,4.0,2,12,0.5150789851603638,0.4208118925100057,0.7130058220527593,3200,38400,0.3445446491241455,25
VQC,4.0,2,13,0.5667783628530397,0.434021263289556,0.7020305033383839,3200,41600,0.36919474601745605,25
VQC,4.0,2,14,0.5509813307802777,0.4308252427184466,0.6985714047852944,3200,44800,0.39830899238586426,25
VQC,4.0,2,15,0.6026807084729535,0.43306010928961747,0.7095009351915061,3200,48000,0.36545658111572266,25
VQC,4.0,2,16,0.5811393011010053,0.4365743721828719,0.7070991302996498,3200,51200,0.4643712043762207,25
VQC,4.0,2,17,0.5782671134514121,0.42829331602855286,0.7156781942201279,3200,54400,0.45333051681518555,25
VQC,4.0,2,18,0.5921493537577789,0.4180327868852459,0.7041228902690132,3200,57600,0.4404902458190918,25
VQC,4.0,2,19,0.572044040210627,0.4209844559585492,0.7133873912874562,3200,60800,0.32894277572631836,25
VQC,4.0,2,20,0.5639061752034467,0.41490044958253053,0.7060792997996415,3200,64000,0.36773133277893066,25
VQC,4.0,2,21,0.6290090952608903,0.421209858103062,0.7077595919567979,3200,67200,0.387603759765625,25
VQC,4.0,2,22,0.5605552896122546,0.3968462549277267,0.6887227559566426,3200,70400,0.37387967109680176,25
VQC,4.0,2,23,0.588319770224988,0.4011142061281337,0.6809442936667832,3200,73600,0.32258057594299316,25
VQC,4.0,2,24,0.5629487793202489,0.4020956123117223,0.6905806512484945,3200,76800,0.3670623302459717,25
VQC,4.0,2,25,0.5763523216850167,0.40484196368527237,0.6905223752199228,3200,80000,0.3739018440246582,25
MatchedMLP,4.0,2,1,0.6960268070847295,0.36563436563436563,0.6392075570133814,3200,3200,0.031638383865356445,25
MatchedMLP,4.0,2,2,0.7012924844423168,0.39768339768339767,0.6888337579158272,3200,6400,0.027735233306884766,25
MatchedMLP,4.0,2,3,0.7343226424126377,0.4585365853658537,0.7276788935324708,3200,9600,0.02773118019104004,25
MatchedMLP,4.0,2,4,0.7376735280038296,0.5,0.7585749013470088,3200,12800,0.029252052307128906,25
MatchedMLP,4.0,2,5,0.7534705600765916,0.5296803652968036,0.7805172136288205,3200,16000,0.027765512466430664,25
